Each colour lighter is an increase or decrease of 5 using paint.net's hue/saturation

(OLD)
6 7 7 7 7		| 0-9
6 6 7 7			| 10-19
5 6 6 6 7		| 20-29
5 5 6 6			| 30-39
4 5 5 5 6		| 40-49
4 4 5 5			| 50-59
3 4 4 4 5		| 60-69
3 3 4 4			| 70-79
2 3 3 3 4		| 80-89
2 2 3 3			| 90-99
1 2 2 2 3		| 100-109
1 1 2 2			| 110-119
1 1	1 1 2		| 120-129

(NEW)

5 6 6 6 7 7 7 7		| 0-9
5 5 6 6 6 7 7 7		| 10-19
5 5 5 6 6 6 7 7		| 20-29
4 5 5 5 6 6 6 7		| 30-39
4 4 5 5 5 6 6 6		| 40-49
4 4 4 5 5 5 6 6		| 50-59
3 4 4 4 5 5 5 6		| 60-69
3 3 4 4 4 5 5 5		| 70-79
3 3 3 4 4 4 5 5		| 80-89
2 3 3 3 4 4 4 5		| 90-99
2 2 3 3 3 4 4 4		| 100-119
2 2 2 3 3 3 4 4		| 120-139
1 2 2 2 3 3 3 4		| 140-159
1 1 2 2 2 3 3 3		| 160-179
1 1 1 2 2 2 3 3		| 180-199
1 1 1 1 2 2 2 2		| 200-219
1 1 1 1 1 2 2 2		| 220-239
